"Timestamp","Na jakie polecenia głosowe powinny reagować poniższe przyciski?","","","","","","Jak sterował(a)byś paskiem postępu utworu?","Jakich komend użył(a)byś do sterowania głośnością?","Jakich poleceń użył(a)byś do wyszukania/zmiany piosenki?","Sugestie dodatkowych poleceń:"
"2018/11/25 9:58:48 AM CET","Stop","Kontynuuj","Cofnij ","Następne ","Zapętlaj ","Mogą się powtarzać ","Naciskając tam gdzie chce aby byl","Stop, next","Znajdź...",""
"2018/11/25 10:07:49 AM CET","Pauza","Start","Utwór od początku/ poprzedni utwór","Następny utwór","Otwarzaj w pętli","Losuj z listy","Przesuwałbym białą kropkę","Używam przycisków z boku telefonu ale raczej ""głośniej, ciszej""","Szukaj/odtwarzaj","Dodaj do ulubionych"
"2018/11/25 11:13:48 AM CET","pauza, pause, stop","play, puść, odtwarzaj, muzyka,","poprzednie(a), wcześniej, do tyłu, back","następne(a), dalej, do przodu, next","loop, pętla","losowo","Nie sterowałbym. ","głośniej, up; ciszej, down","Temat chyba jest ogarnięty przez przycisk > ","Wyciszenie: wycisz, mute (to samo mogłoby być na odciszenie)"
"2018/11/25 11:34:56 AM CET","Pauza","Play","Cofnij piosenke","Nastepna piosenka","Powtorzenie utworow","Losowy wybor utworow","Przesuwajac go","Nie wiem","Nie wiem",""
"2018/11/25 11:57:30 AM CET","pauza","play","cofnij","następne","powtarzanie","wyślij/prześlij","przyśpiesz/odtwarzaj od 20s.","głośniej/ciszej/średnia głośność","wyszukaj np. Anna Dąbrowska / zmień piosenkę na ""Porady na zdrady""",""
"2018/11/25 1:15:33 PM CET","zahamuj
","start","wróć","ruszaj","powtarzaj","","przesuń w lewo, przesuń w prawo","ciszej, głośniej, cichutko, bardzo głośno, wrzeszcz, ","zmień na,  wyszukaj, znajdź, podpowiedz, zasugeruj ",""
"2018/11/25 1:20:08 PM CET","Stop","Play","Back","Play again","Synchronize","Upload","Back, forward","Louder, quieter","Change song to ...",""
"2018/11/25 1:20:24 PM CET","Stop, pauza","Graj","Cofnij","Następny","Od nowa, powtórz","","Podając minutę i sekundę utworu","Głośniej, ciszej","Znajdź, szukaj",""
"2018/11/25 1:20:53 PM CET","pauza, stop, zatrzymaj","play,  start, odtwarzaj","poprzedni, wstecz","następny, dalej","zapętlenie","losowo","do przodu o X, do tyłu o X, przeskocz do X minuty","pogłośnij, ścisz, głośniej, ciszej, wycisz","włącz [tu tytuł], przejdź do [tu tytuł], odtwarzaj [tu tytuł]","przeskocz o X kawałków"
"2018/11/25 1:22:40 PM CET","Przestań grać, zatrzymaj, koniec, stop","Odtwarzaj, graj, zacznij, wznów, odtwórz, graj, rozpocznij odtwarzanie","poprzednia, w tył, do tyłu","nastepna, do przodu, w przód","zapętl, powtarzaj, jeszcze raz","","przewiń na","wycisz, podgłośnij","zmień",""
"2018/11/25 1:27:37 PM CET","Pauza, wstrzymaj","Kontynuuj, odtwarzaj, graj","Poprzedni, cofnij","Następny, do przodu","Pętla, zapętlenie","Losowo, losuj","Przewiń do [czas], przewiń o [czas] do [przód / tył]","Głośniej, ciszej, głośność [wartość]","Odtwarzaj [tytuł]","Pokaż tekst, odtwarzaj podobne, "
"2018/11/25 1:31:45 PM CET","stop","graj","do tyłu","do przodu","zapętl","losuj","""przewin 15 sekund do przodu"", ""cofnij 20 sekund""","podgłość, ścisz","wyszukaj:","wyszukaj podobne do:"
"2018/11/25 1:41:00 PM CET","Pauza","Odtwórz","Poprzedni","Następny","Odtwarzanie w pętli","Odtwarzanie losowe","Przewiń (? Minuta ? Sekunda)","Volume up","Szukaj ???",""
"2018/11/25 1:45:37 PM CET","stop, wyłącz","włącz","cofnij","do przodu","","","idź, cofnij","głośniej, ciszej","znajdź, szukaj, ",""
"2018/11/25 1:47:38 PM CET","pauza, stop, cisza, cicho","play, start, odtwórz, odtwarzaj, go","back, do tyłu, wstecz","forward, do przodu, naprzód","jeszcze raz, pętla","na przemian, losowo","do przodu o..., do tyłu o..., przewiń","głośniej, ciszej","wyszukaj, zmień, szukaj",""
"2018/11/25 1:58:50 PM CET","Stop","Wznów","Poprzednia","Następna","Zapętl listę","Losowy wybór","n sekund do tyłu/do przodu","głośniej / ciszej","zagraj X",""
"2018/11/25 2:00:40 PM CET","stop","play","lewo","prawo","powtórz","","mmmmmmm","plus, minus","następna, wstecz, ""nazwa piosenki, wykonawcy""",""
"2018/11/25 2:00:43 PM CET","pauza","graj","poprzednia","następna","zapętl","losowo","plus 5 sekund","głośniej/ciszej","znajdź",""
"2018/11/25 2:07:08 PM CET","STOP","PLAY","PREVIOUS","NEXT","LOOP","RANDOM","idk","VOLUME UP/DOWN","SEARCH",""
"2018/11/25 2:27:41 PM CET","Stop, wait","Play, start","Back","Next","","","Nic nie mogę wymyślić ","Up, down? ","Look for ",""
"2018/11/25 2:28:26 PM CET","stop","graj","wstecz","następna","powtórz","losuj","hmmm nie przychodzi mi nic do głowy","up - przyglos, down - przycisz","szukaj *nazwa utworu*, zmiana piosenki - zmien na *nazwa piosenki*",""
"2018/11/25 2:30:01 PM CET","pause","play","previous","next","replay","nie wiem co oznacza ikonka","more, less, go to min sec ","softer, louder, quiet - całkowite wyciszenie, 'louder than hell' - dla fanów metalu, głośność na maksa","search nazwa_piosenki",""
"2018/11/25 2:34:17 PM CET","stop","graj","wstecz","następny","w koło","krzyżuj ","mówiłabym czas","głośniej","następna/ wyszukaj",""
"2018/11/25 2:38:23 PM CET","Stop","Play","Previous","Next","Once again","Shuffle","Go to ... (1:30 - one thirty)","Volume Up/Down","Search ...",""
"2018/11/25 2:44:26 PM CET","Stop, pauza, zatrzymaj","Start, Play, graj, rozpocznij, zacznij","Wstecz, poprzednia","Dalej, następna, kolejna","Powtorz, pętla","Random, losowo","Przewin do przodu/ do tyłu ","Głośniej, ciszej","Szukaj: ..., Znajdź:...., Odtwórz:.....",""
"2018/11/25 2:47:11 PM CET","Stop","Muza","Wstecz","Przód","Jeszcze raz","Losowo","Słownie przewin ","Głośniej ","Zmień","Anka masz piwo ? "
"2018/11/25 2:56:02 PM CET","stop","graj","wstecz","następny","powtarzaj","losowo","Wcześniej oznaczyłabym kilka momentów w utworze, do których prawdopodobnie często się cofam bądź do którego przewijam i zastosowałabym jakąś komendę głosową do poruszania się do najbliższego (w tył bądź do przodu) miejsca.","głośniej/ciszej (zmieniają o jednostkę w dostępnej skali głośności)","tytuł/album/wykonawca: [teraz podać fragment/całość któregoś z wymienionych]",""
"2018/11/25 2:56:27 PM CET","Pauza, zatrzymaj, stop","Puść, odtwarzaj, rozpocznij","Cofnij, poprzedni utwór","Nastepna","Zapętl","Pomieszaj","Przejdź do ... Sekundy","Głośniej, ciszej, pogłośnij, przycisz","Następna piosenka, wylosuj piosenkę, wyszukaj ""nazwa piosenki"", wyszukaj ""wykonawca"", odtwórz ""nazwa piosenki""","Losuj w kategorii ""nazwa kategorii"" (np. hip hop, alternatywna)"
"2018/11/25 2:58:59 PM CET","Pyr Pyr Pyr","Goha Goha","3 złote","2 złote","Stara menelica","Twoja matka","Babka","I prababka","NJE","NJE"
"2018/11/25 2:59:32 PM CET","Pause","Play","Back","Forward","Replay","Shuffle","Zbędne przy sterowaniu głosowym","Volume up/volume down, Lauder/quieter","Search",""
"2018/11/25 3:13:15 PM CET","stop, pauza, zatrzymaj, ","graj, odtwarzaj, play, start","cofnij, przewiń do tyłu, do tyłu, poprzednie","przód, przewiń do przodu, następne","zapętl, drugi raz, ","losowo, losuj, random, ","np. 5sekund do przodu, od zera, od minuta dwadzieścia","cicho, głośno, ciszej, głośniej, przycisz, podgłośń, ","szukaj, wyszukaj, odtwarzaj *nazwa wykonawcy/piosenki*",""
"2018/11/25 3:39:13 PM CET","Pauza, Stop","Graj, Start","Wstecz, Poprzedni","Następny, Do przodu ","Powtarzaj","Losowo, Mieszaj ","5 sekund przód, 10 sekund tył","Głośniej, Ciszej, Wycisz, ","Szukaj ""X"" ","Dodaj do kolejki "
"2018/11/25 3:47:32 PM CET","stop","graj","wróć","dalej","powtórz","losuj","trzy-jeden-dwa dla 3:12, zero-pięć-siedem dla 0:57","głośniej, ciszej","szukaj i tutaj tekst","wyślij (udostepnij)"
"2018/11/25 3:55:58 PM CET","pauza","start","wstecz","dalej","zapętlić ","losowo","przeciągając kropkę","głośniej ciszej","dalej","-"
"2018/11/25 4:10:21 PM CET","Pauza","Play","Wstecz","Dalej","Replay","Niewiemcoto","Dalej o x sekund","Glosniej/ciszej","Wyszukaj","Najlepsza byłaby możliwość wyboru polecenia glosowego spośród kilku opcji przez uzytkownika"
"2018/11/25 4:21:28 PM CET","Pauza lamo","graj","wstecz","dalej","powtarzaj","losuj","przesuń do ""czas"" (trzy minuty 11 sekund)","Proszę Głośniej/ciszej","Wyszukaj/zmień","Znajdź coś podobnego do"
"2018/11/25 4:41:59 PM CET","Stop","Play","Back","Next","W kółko","Losowo","Plus (ilość sekund)","Loud/silent","Szukaj (nazwa piosenki, wykonawca)",""
"2018/11/25 4:50:23 PM CET","pauza/stop","start/play","poprzednia/do tylu","kolejna/nastepna","replay","losowo","do przodu/do tylu/tutaj/dalej/wstecz","glosniej/ciszej","szukaj [tytul]","wycisz/stop - aby natychmiast wyciszalo, nawet jak apka dziala w tle"
"2018/11/25 4:57:13 PM CET","Pauza","Graj","Poprzedni","Następny","Pętla","Losuj","Przesuń do trzy dwadzieścia","Głośniej/ciszej/wycisz/odcisz","Odtwarzaj (nazwa piosenki)",""
"2018/11/25 4:59:54 PM CET","stop","play","back","next","repeat","random","go further","louder itd","play [song]","fajnie wyszukiwać całe albumy i odtwarzać je, nie tylko piosenki pojedyńcze"
"2018/11/25 5:04:44 PM CET","stop, pauza, wait","puść, play, go","wróć","dalej","jeszcze raz","losowo, random","w przód o x sekund","głośniej, ciszej","puść i nazwisko i/lub tytuł",""
"2018/11/25 5:29:31 PM CET","stop","graj","jeszcze raz bo ominalem ulubiony moment","dalej","jeszcze raz","zaskocz mnie","dalej","glosniej","odpal kanikuły",""
"2018/11/25 5:31:43 PM CET","Stop pauza zatrzymaj przerwij wstrzymaj","Start graj ","Cofnij do tylu wstecz poprzednia ","Następna do przodu ","Powtarzaj całość / utwór ","","Przewiń do xx sekundy, cofnij do xx","Głośniej/ ciszej ","Znajdź, szukaj i tytuł albo wykonawca, tytuł ",""
"2018/11/25 5:45:28 PM CET","Stop (music), wait, pause (music)","Play, start (music), POWER!!!!","back, previous, play from beggining, play previous sing","Next, Play next song, enough of this shit","Repeat on/off","Shuffle on/off","Go (to / plus x / beggining / minus x )","Up, louder, down, mute","Find xxx song, play ARTIST + [ALBUM]+ [SONG], [] - optional",""
"2018/11/25 6:38:51 PM CET","Pause, pauza, stop","Play, graj","Cofnij, back, poprzedni","Next, dalej, następny ","Loop, pętla","Mix, losowo, mieszaj","Plus 5, plus 10, minus 5, minus 10","Volume up, Volume down, głośniej, ciszej","Find, znajdź ","Wyciszenie, mute "
"2018/11/25 6:42:59 PM CET","stop","play, graj, start","cofnij","dalej","zapętl","losowo","dalej 0 13 ( dalej minuta i sekunda utworu)","glosniej/ciszej","graj 'nazwa piosenki'",""
"2018/11/25 6:57:37 PM CET","pauza","odtwórz","wstecz","dalej","zapętl","szufla","przesuń o X sekund","głośniej, ciszej","Szukaj X",""
"2018/11/25 7:35:33 PM CET","pauza, stop, zatrzymaj, halt","plej, włącz, dawaj, graj, odtwórz","poprzedni, wróć","następny, kolejny, głupie(w sensie rozpoznaje ze mi sie nie podoba i zapodaje kolejną piosenkę), next","odtwarzaj w pętli","","10 sekund do przodu, minuta trzydzieści sześć, ","głośniej/ciszej, za cicho, więcej mocy, ","szukaj","odtwórz playlistę X, zamknij aplikacje"
"2018/11/25 8:08:59 PM CET","stop, pauza","start, graj, play","poprzedni, previous","następny, next","pętla, loop","random, losowo","""Plus /do przodu15 (sekund)"", ","Głośniej (3), glosnosc na 5, wycisz, max","szukaj: ","radio Britney Spears, playlista Lata '90"
"2018/11/25 8:50:23 PM CET","Stop","Play/Graj","Wstecz","Dalej","Pętla","Mix","Idź do (zero:trzynaście)","Głośniej/Ciszej","Szukaj","Cisza-wycisza na moment muzykę i noise cancelling w słuchawkach"
"2018/11/25 8:54:24 PM CET","stop, zatrzymaj , pauza ","graj , start, wznów , go ","poprzednie , cofnij, poprzedni utwór  ","następny utwór, kolejny, następne , dalej","od nowa, pętla, nie przerywaj, zapętlij","shuffle, wymieszaj, mix ","do minuty x , przesuń do przodu/tyłu o x , ","głośnej, podgłośnij , ciszej, wycisz, cisza , przycisz ","zmień, znajdź , tytuł piosenki ","koniec, wyjdź, ponów, graj to co ostatnio"
"2018/11/25 9:08:50 PM CET","stop","puść","wstecz","dalej","powtórz","losowo","przewiń - puść","głośniej - ciszej","szukaj, dalej","wyjdź/ wyłącz"
"2018/11/25 9:54:12 PM CET","Stop","Dalej","Poprzednia","Następna ","Powtórz ","Odtwórz losowo","13 sekund","Przygłośnij","Wyszukaj ",""
"2018/11/25 9:56:37 PM CET","hold/stop","play","back","next","loop","mix","Use exact minutes/seconds ","volume up/ volume down","search + title / change to + title","1. Save 2. Add to playlist + playlist name 3. Info "
"2018/11/25 10:02:26 PM CET","Stop","Odtwarzaj","Wstecz","Dalej","Powtarzaj","Losuj","Komenda: przewijaj w przód/tył ","Scisz/podglos","Wyszukaj",""
"2018/11/25 10:03:59 PM CET","stop","start","lewo","góra","losowo","kros","siup lub siuuuup zalezy jak długo ","zależy od amplitudy głosu","szukaj (jak do psa)","przekieruj na piratebay"
"2018/11/25 10:06:34 PM CET","Pause","Play","Back","Forward","Loop","Random"," Częściowy postęp. Np ""od połowy"" utworu albo ""od początku"". ","Procentowo","Nazwa utworu.",""
"2018/11/25 10:08:22 PM CET","zatrzymaj, stop, pauza, koniec","start, zacznij, graj","wstecz, cofnij, poprzednia","pomiń, następna, kolejna","zapętlij, powtarzaj","losuj, pomieszaj","(liczba sekund) wstecz/na przód, idź do (minuta utworu)","głośniej/ciszej (o x%)","szukaj/zmień na (nazwa piosenki)","wycisz"
"2018/11/25 10:08:46 PM CET","stop","start","wstecz","nastepna","powtarzaj","pomieszaj","siup lub siuuuuup jak dłużej","mówiłbym głośniej lub ciszej","szukaj (jak do psa)",""
"2018/11/25 10:12:53 PM CET","stop, pauza","start, play, puść, odtwarzaj","wstecz, poprzedni, back","dalej, następny, next","powtarzaj","losowo, random, losuj","w przód, w tył - odpowiada stałemu przesunięciu, np o 5 sekund. Mówisz ""w przód"" i przesuwa ci o 5 sekund w przód, jak klawisz strzałki na youtube. Oprócz tego polecenia konkretnego momentu: od połowy, druga minuta, dwa trzydzieści siedem (2min:37sek)","głośniej, ciszej ","""szukaj: <nazwa piosenki>"" lub po prostu nazwa piosenki","""dodaj do playlisty <nazwa playlisty>"" - dodaje obecny utwór do playlisty "
"2018/11/25 10:14:50 PM CET","czekaj","graj","od początku","przewiń","graj w pętli","losowo","przewiń do ..połowy/końca","GŁOŚNIEJ KURWAA! :D a tak serio, to ścisz, głośniej","znajdź .... ","tryb nocny (muzyka ciszej), albo wyjdź (zamknięcie apki) "
"2018/11/25 10:27:13 PM CET","pauza","graj","poprzednia","następna","zapętlij","mieszaj","plus 10","głos plus 10","szukaj piosenka",""
"2018/11/25 10:38:38 PM CET","Pauza","Play","Poprzedni","Następny","Zapętlaj","Pomieszaj","Przejdź do np. jeden trzydzieści (1:30)","Głośniej/ciszej","Zagraj (tytuł piosenki)/dalej",""
"2018/11/25 10:51:40 PM CET","zatrzymaj","odtwórz","wstecz","następny","powtarzaj","pomieszaj","przewiń","głośniej/ciszej","szukaj/następna",""
"2018/11/25 10:53:21 PM CET","stop","start","wstecz","nastepna","losowa","petla","siup lub siuuup jak dluzej ","glosniej i ciszej","szukaj (jak do psa)",""
"2018/11/25 11:13:16 PM CET","stop","start","wstecz","nastepna","petla","mieszaj","siup lub siuuuup zalezy jak długo","sterowanie amplituda głosu","szukaj (jak do psa)",""
"2018/11/25 11:15:03 PM CET","stop","start","wstecz","nastepna","petla","mieszaj","siup lub siuuuup zależy od tego jak bardzo","amplituda tonu głosu","jupi >nazwa piosenki<","
"
"2018/11/25 11:31:00 PM CET","Pauza","Graj","Wcześniej","Dalej","Zapętlaj","Losuj","""Przewiń o X sekund"" lub ""Przewiń do x% utworu""","Głośniej/Ciszej","Szukaj: ___ , Włącz: ____","Dodaj do kolejki ___, zmień playlistę na ___"
"2018/11/26 3:17:30 AM CET","pause, stop","play","previous song","next  song, skip song","loop, repeat","shuffle, random","jump to 0:13","volume 100%","play %tytuł","odtwórz konkretną playlistę, zatrzymaj odtwarzanie za 30 minut"
"2018/11/26 7:19:01 AM CET","Stop","Graj","Wstecz","Dalej","Powtarzaj","Losowo","Graj od ... / x sekund dalej/wstecz","Głośniej/ciszej o 1,2,3...","Szukaj „tytuł”",""
"2018/11/26 7:44:23 AM CET","Stop","Start","Previous","Next","Replay","Random","Dalej","Głośniej ","Find",""
"2018/11/26 12:57:12 PM CET","pauza, stop","graj","poprzednia","następna","powtórz, jeszcze raz","graj losowo","np. jeden piętnaście (i wtedy przenosi do 1:15)","głośniej, ciszej","szukaj, następny/poprzedni","funkcja przyciszania wokali, żeby można było śpiewać :P"
"2018/11/26 1:11:34 PM CET","Pauza","Play","Cofnij","Do przodu ","Odtwarzaj w pętli ","Odtwarzaj losowo","Sekunda <... >","Głośniej, ciszej ","Szukaj <... >",""
"2018/11/26 1:11:46 PM CET","pauza, stop, zatrzymaj","play, wzów, graj, odtwarzaj","przewiń do tyłu, poprzedni [utwór]","przewiń do przodu, następny [utwór]","zapętlenie, graj/odtwarzaj/odtwarzanie w kółko","odtwarzaj losowo, odtwarzanie losowe/ przestań odtwarzać losowo, wyłącz losowe odtwarzanie","do przodu, do tyłu/wstecz, dalej","głośniej, ciszej","zagraj ... / zmień na ... / włącz [piosenkę] ...",""
"2018/11/26 1:30:37 PM CET","stop, pauza","play, graj","poprzednia","następna, kolejna","pokolei, ciągiam, lista","losowo","przód, tył","głośniej, ciszej","szukaj",""
"2018/11/26 2:17:28 PM CET","Pauza, przerwij, przerwa, zatrzymaj na chwilę","Odtwarzaj, Play, graj, zagraj, włącz muzykę","Poprzedni, wstecz, cofnij","Następny","Włącz powtarzanie, zapętlij","Losowo, odtwarzaj losowo","Do przodu\do tyłu o x sekund, przewiń na minutę x, od początku","Głośniej, ciszej, wycisz","Znajdź x, puść x, zagraj x",""
"2018/11/26 11:38:08 PM CET","stoppen bitte","muzyken mahen","ein früheres Schweine","ein blitzkrieg schnela","das ist fantastischen","krencesn strzałken","raus","Helmuten töten","Ändern Sie diesen Scheiß","Hail"
"2018/11/27 2:13:06 AM CET","Stop/pauza ","Graj/play","Poprzedni/previous","Następny/pauza","Zapętlenie ","Mix/pomieszaj","Puść *podanie sekundy/minuty*","Głośniej/ciszej","Hej! Puść piosenkę *tytul wykonawca*",""
